#Year	#Actual	#Verh	#Gomptz	#Richard
1960	1094196	1094196	1094195	1094196
1970	1261661	1361308	1386504	1336313
1984	1680890	1665818	1693262	1631146
2000	1635421	2000984	2004476	1988489
2010	2633154	2355937	2311315	2416740
