#Year	#Actual	#Verh	#Gomptz	#Richard
1960	288706	288706	288706	288706
1970	319865	392497	405530	388454
1984	438008	529410	547026	522633
2000	576583	706756	712042	703039
2010	1046545	931137	898174	945288
