#Year	#Actual	#Verh	#Gomptz	#Richard
1960	468638	468638	468638	468638
1970	542858	583555	595631	586846
1984	772744	722160	738872	725856
2000	920089	887075	896770	886240
2010	1046545	1080141	1067268	1067642
