#Year	#Actual	#Verh	#Gomptz	#Richard
1960	587920	587920	587919	587920
1970	766509	876314	934306	860442
1984	1206608	1265596	1343161	1238729
2000	1815408	1754243	1785069	1736486
2010	2310983	2314618	2230753	2339612
