#Year	#Actual	#Verh	#Gomptz	#Richard
1960	777285	777285	777285	777284
1970	947268	1053246	1094348	1057457
1984	1211907	1394820	1446851	1400870
2000	2106696	1796739	1817205	1799962
2010	2118252	2242436	2188731	2236957
