#Year	#Actual	#Verh	#Gomptz	#Richard
1960	751392	751392	751392	751392
1970	890135	1000004	1032129	976025
1984	1142335	1305597	1344340	1267268
2000	1593823	1665688	1675173	1643406
2010	2201863	2069462	2011898	2123906
