#Year	#Actual	#Verh	#Gomptz	#Richard
1960	491817	491817	491817	491816
1970	851614	964708	1130799	1590207
1984	1431099	1747998	1970689	3628378
2000	2905726	2812093	2854685	5228028
2010	4010054	3925871	3655365	5809789
