#Year	#Actual	#Verh	#Gomptz	#Richard
1960	1109133	1109133	1109133	1109133
1970	1481698	1839104	1966550	2014050
1984	2090100	2714348	2804360	3098207
2000	3612950	3539677	3494177	4000201
2010	4780380	4159291	4004346	4542472
